,distance,distance_error,inspectiontime,tower,nn_category
0,969.9395838,48.49697919,53:54.4,38,White-Tailed-Eagle
1,452.1930216,22.60965108,57:02.3,38,Protected
2,669.2523934,33.46261967,17:17.4,38,White-Tailed-Eagle
3,691.5025754,34.57512877,32:59.0,38,Protected
4,1015.97423,50.7987115,02:34.2,38,White-Tailed-Eagle
5,636.6231808,31.83115904,40:50.5,38,White-Tailed-Eagle
6,1186.792128,59.33960641,52:51.7,38,White-Tailed-Eagle
7,809.0288933,40.45144466,50:14.0,38,White-Tailed-Eagle
8,587.2600802,29.36300401,58:20.1,38,Protected
9,688.8387973,34.44193986,10:51.2,38,Protected
10,855.5315888,42.77657944,54:33.8,38,Red-Or-Black-Kite
11,1345.812225,67.29061123,00:27.2,38,White-Tailed-Eagle
12,1023.147949,51.15739745,22:22.1,38,White-Tailed-Eagle
13,356.5812213,17.82906107,08:46.6,38,White-Tailed-Eagle
14,738.898569,36.94492845,24:02.6,38,White-Tailed-Eagle
15,865.9173008,43.29586504,56:26.3,38,White-Tailed-Eagle
16,744.2394583,37.21197292,46:09.1,38,White-Tailed-Eagle
17,1438.994472,71.94972358,46:08.3,38,Distant
18,706.8769416,35.34384708,46:11.8,38,White-Tailed-Eagle
19,877.5619255,43.87809628,32:04.7,38,Protected
20,912.3145322,45.61572661,56:30.3,38,Protected
21,951.3523861,47.56761931,47:07.0,38,White-Tailed-Eagle
22,1019.467372,50.97336859,42:45.7,38,Protected
23,1192.585048,59.62925242,51:19.0,38,Protected
24,918.3432209,45.91716105,59:33.8,38,White-Tailed-Eagle
25,758.6819202,37.93409601,27:46.6,38,Protected
26,813.201599,40.66007995,13:47.1,38,White-Tailed-Eagle
27,446.7789383,22.33894691,30:46.4,38,Protected
28,1151.672604,57.5836302,18:38.1,38,White-Tailed-Eagle
29,1011.323034,50.56615172,33:47.2,38,Buzzard
30,1016.808454,50.8404227,50:15.9,38,White-Tailed-Eagle
31,287.0496839,14.35248419,43:23.1,38,Protected
32,906.2191735,45.31095867,55:16.0,38,White-Tailed-Eagle
33,890.8331904,44.54165952,12:40.2,38,Protected
34,1345.70339,67.2851695,27:09.6,38,Red-Or-Black-Kite
35,1106.735642,55.33678209,31:19.1,38,Protected
36,531.5691344,26.57845672,01:04.1,38,Protected
37,760.9875477,38.04937739,24:38.2,38,Other-Avian-DE
38,780.3451818,39.01725909,01:20.2,38,White-Tailed-Eagle
39,958.2564527,47.91282264,06:38.4,38,White-Tailed-Eagle
40,904.5820989,45.22910494,01:39.1,38,Protected
41,870.3521496,43.51760748,18:31.7,38,White-Tailed-Eagle
42,656.8171045,32.84085522,34:07.1,38,White-Tailed-Eagle
43,763.0261028,38.15130514,03:53.5,38,Protected
44,1275.868291,63.79341453,06:12.3,38,Red-Or-Black-Kite
45,655.5655908,32.77827954,58:04.5,38,Protected
46,1229.356624,61.46783121,15:05.7,38,White-Tailed-Eagle
47,875.8538645,43.79269322,17:49.0,38,White-Tailed-Eagle
48,482.4580898,24.12290449,49:28.8,38,Protected
49,535.1606941,26.75803471,55:12.9,38,White-Tailed-Eagle
50,787.1495945,39.35747973,52:28.6,38,White-Tailed-Eagle
51,578.1243773,28.90621886,46:14.4,38,Protected
52,994.0397968,49.70198984,36:46.9,38,Protected
53,569.3681476,28.46840738,01:08.3,38,White-Tailed-Eagle
54,1289.639459,64.48197295,56:20.7,38,Buzzard
55,928.8973047,46.44486523,33:44.0,38,Protected
56,685.0042015,34.25021008,22:13.6,38,Protected
57,615.3285743,30.76642872,42:12.6,38,Protected
58,845.6106905,42.28053453,19:01.1,38,White-Tailed-Eagle
59,906.4873965,45.32436982,59:22.3,38,Protected
60,277.8807928,13.89403964,44:05.4,38,Protected
61,1185.592059,59.27960295,05:51.3,38,Other-Avian-DE
62,440.208666,22.0104333,11:47.8,38,White-Tailed-Eagle
63,1018.808258,50.94041292,35:39.3,38,Protected
64,1279.998772,63.99993861,57:59.3,38,Protected
65,821.3626854,41.06813427,32:50.8,38,Protected
66,1079.049125,53.95245626,48:04.6,38,White-Tailed-Eagle
67,698.4670029,34.92335014,16:01.2,38,Protected
68,1298.338898,64.91694488,47:26.1,38,White-Tailed-Eagle
69,1174.113002,58.70565011,46:24.1,38,Other
70,1050.170284,52.50851418,10:24.3,38,Buzzard
71,680.5411146,34.02705573,59:59.3,38,White-Tailed-Eagle
72,647.5152033,32.37576016,02:06.5,38,Protected
73,696.1485379,34.8074269,55:34.5,38,Protected
74,866.7875882,43.33937941,40:32.0,38,White-Tailed-Eagle
75,800.8405883,40.04202941,25:19.1,38,Protected
76,785.8585368,39.29292684,27:13.8,38,Red-Or-Black-Kite
77,597.5099281,29.8754964,40:49.4,38,White-Tailed-Eagle
78,1636.521778,81.82608891,28:03.5,38,White-Tailed-Eagle
79,871.8205759,43.59102879,28:44.9,38,White-Tailed-Eagle
80,619.2336844,30.96168422,16:40.9,38,White-Tailed-Eagle
81,1052.737351,52.63686754,04:01.4,38,Protected
82,571.1864153,28.55932077,11:12.1,38,Protected
83,843.6407536,42.18203768,45:32.5,38,Protected
84,1345.008562,67.25042812,23:02.5,38,White-Tailed-Eagle
85,567.2999515,28.36499757,10:59.9,38,Protected
86,1065.860089,53.29300446,19:08.9,38,White-Tailed-Eagle
87,807.2335155,40.36167578,32:36.5,38,Protected
88,495.2422062,24.76211031,49:29.7,38,Protected
89,816.7750928,40.83875464,50:14.4,38,White-Tailed-Eagle
90,799.1501582,39.95750791,22:44.0,38,White-Tailed-Eagle
91,1102.177876,55.10889381,25:11.1,38,Red-Or-Black-Kite
92,867.1295421,43.3564771,13:38.8,38,White-Tailed-Eagle
93,843.1689294,42.15844647,45:34.9,38,Protected
94,1032.97231,51.64861548,41:51.9,38,Protected
95,629.0972511,31.45486255,34:52.2,38,Protected
96,369.6153749,18.48076875,34:33.3,38,White-Tailed-Eagle
97,1189.931901,59.49659505,20:45.4,38,White-Tailed-Eagle
98,321.411944,16.0705972,10:48.3,38,White-Tailed-Eagle

,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
